genome,completeness,contamination,length,N50
TG3_21:bin_000018.fa,91.94,10.1,3076931,17732
TG3_21:bin_000034.fa,74.09,1.29,1040682,4118
TG3_28:bin_000010.fa,91.26,2.33,2081150,11412
TG3_28:bin_000031.fa,86.76,8.73,4253838,38072
TG3_28:bin_000053.fa,61.94,3.97,2441620,3528
TG3_35:bin_000007.fa,98.77,4.27,2628108,34052
TG3_35:bin_000036.fa,72.56,4.48,2571385,3482
TG3_35:bin_000042.fa,64.76,5.24,3330025,8236
TG4:bin_000010.fa,86.38,1.16,2454423,17666
TG4_07:bin_000001.fa,100.0,3.58,4247093,58220
TG4_07:bin_000007.fa,88.67,2.73,2560152,14622
TG4_07:bin_000013.fa,87.97,1.0,1983219,20797
TG4_07:bin_000031.fa,59.43,2.08,2668048,3252
TG4_14:bin_000021.fa,74.35,3.88,1360287,3945
TG4_21:bin_000010.fa,87.14,2.49,2416369,30462
TG4_21:bin_000013.fa,90.14,10.29,2832840,18224
TG4_21:bin_000023.fa,77.92,4.1,2906479,29176
TG4_28:bin_000030.fa,94.71,12.91,2701651,8429
TG4_35:bin_000024.fa,80.01,34.02,4248179,6295
TG5:bin_000045.fa,90.94,15.49,2897408,8096
TG5:bin_000047.fa,82.17,4.83,3168647,20648
TG5:bin_000048.fa,74.59,3.42,1913407,5270
TG5:bin_000053.fa,87.08,14.27,3328822,10127
TG5_07:bin_000005.fa,98.71,16.39,4023392,40580
TG5_07:bin_000017.fa,88.64,4.01,3106673,22130
TG5_14:bin_000001.fa,89.42,0.57,2767284,43790
TG5_14:bin_000011.fa,98.87,11.56,3359807,34900
TG5_21:bin_000004.fa,95.77,2.85,2812137,22336
TG5_21:bin_000016.fa,95.32,3.75,3963705,26987
TG5_28:bin_000014.fa,95.39,5.95,2320529,17774
TG5_28:bin_000024.fa,84.62,4.71,3417444,23914
TG5_35:bin_000018.fa,83.73,3.38,2205490,18301
TG5_35:bin_000025.fa,84.2,1.72,2181139,5600
D300418:bin_000018.fa,70.4,1.04,1985854,6238
D300418:bin_000021.fa,84.63,36.5,4222197,6700
D300419:bin_000014.fa,86.3,14.64,5151642,3702
D300420:bin_000002.fa,87.92,1.79,4249095,8197
D300421:bin_000009.fa,88.24,10.57,3193328,33088
D300421:bin_000010.fa,89.35,3.28,3429595,39738
D300421:bin_000019.fa,68.09,1.44,3055297,6367
D300422:bin_000001.fa,94.03,0.34,2131988,17432
D300422:bin_000011.fa,90.07,7.42,3412743,17321
D300423:bin_000007.fa,93.57,4.45,3316869,28286
D300426:bin_000001.fa,95.28,1.04,2124746,16615
D300426:bin_000003.fa,92.17,1.64,2994902,22469
D300426:bin_000008.fa,91.2,3.28,3896001,39377
D300428:bin_000005.fa,93.51,4.99,3342204,48389
D300429:bin_000008.fa,84.82,11.35,3504872,61057
D300429:bin_000010.fa,88.79,1.99,2373103,23338
D300430:bin_000006.fa,89.51,4.24,4475940,44189
D300432:bin_000002.fa,100.0,1.15,4140997,74634
D300432:bin_000003.fa,89.39,5.36,3474850,8960
D300432:bin_000007.fa,91.71,4.6,2080491,8938
D300433:bin_000002.fa,99.62,1.49,2550047,21341
D300433:bin_000006.fa,99.42,21.86,8376715,27595
D300433:bin_000012.fa,72.88,3.89,2306424,4583
D300433:bin_000014.fa,59.92,3.29,1489344,3234
D300433:bin_000016.fa,65.23,1.39,2905276,4213
D300435:bin_000005.fa,95.31,4.33,2467013,17858
D300435:bin_000010.fa,80.08,1.91,2303884,18383
D300435:bin_000019.fa,78.19,1.9,1990933,11051
D300437:bin_000014.fa,58.68,1.61,2061784,2563
D300439:bin_000021.fa,77.96,6.66,2602966,11847
D300440:bin_000008.fa,88.55,9.77,4276083,43609
D300440:bin_000019.fa,70.62,2.53,2446085,8623
D300441:bin_000001.fa,91.34,0.55,2620161,43790
D300441:bin_000002.fa,98.01,3.7,2980137,24513
D300441:bin_000009.fa,77.44,2.47,3436350,3461
D300441:bin_000017.fa,82.2,2.39,2340840,11343
D300442:bin_000001.fa,95.41,0.23,2386391,19562
D300442:bin_000009.fa,91.39,1.34,3411948,43414
D300442:bin_000015.fa,78.79,7.07,2858118,11246
D300443:bin_000003.fa,92.99,0.64,3351616,43028
D300443:bin_000004.fa,98.12,1.52,1706904,16576
D300444:bin_000002.fa,99.94,0.42,3512022,53563
D300446:bin_000014.fa,81.13,17.9,3482417,10397
D300447:bin_000017.fa,83.93,23.14,2992485,5770
D300448:bin_000014.fa,82.96,9.07,3128037,22604
D300450:bin_000009.fa,90.63,5.24,2406745,13854
D300452:bin_000001.fa,92.17,1.44,2646362,41022
D300452:bin_000009.fa,89.7,1.44,2279363,6733
D300453:bin_000003.fa,92.31,1.18,2584306,14643
D300453:bin_000004.fa,97.82,3.93,2704236,26852
D300454:bin_000004.fa,96.56,2.1,2933176,19751
D300457:bin_000013.fa,86.09,16.63,4301757,7851
D300458:bin_000001.fa,97.29,0.15,1947586,13522
D300458:bin_000004.fa,93.46,1.43,1965201,13016
D300458:bin_000015.fa,92.02,3.03,3228507,14209
D300458:bin_000020.fa,76.41,5.87,2153021,6083
D300461:bin_000015.fa,73.97,6.01,2090925,9684
D300462:bin_000007.fa,81.6,8.4,3850153,25661
D300463:bin_000016.fa,91.29,4.65,3449559,22915
D300464:bin_000007.fa,80.0,1.22,2253195,4814
D300467:bin_000008.fa,86.06,5.3,4136082,42719
D300467:bin_000014.fa,82.03,5.65,2084958,3742
D300468:bin_000003.fa,95.45,9.32,3396144,23681
D300468:bin_000004.fa,92.25,1.08,1500574,18751
D300468:bin_000011.fa,91.46,2.14,3495330,15747
D300469:bin_000002.fa,91.46,2.76,2833920,10894
D300470:bin_000003.fa,95.78,5.58,2475587,13410
D300470:bin_000019.fa,77.47,1.72,2600994,7251
D300471:bin_000007.fa,84.66,1.52,1885600,6951
D300471:bin_000012.fa,83.05,6.39,2232438,7579
D300472:bin_000005.fa,99.63,7.38,2805166,8849
D300472:bin_000013.fa,84.17,6.65,2110484,5774
D300474:bin_000003.fa,90.31,4.02,3058855,12167
D300475:bin_000006.fa,98.41,7.49,2786530,29421
D300475:bin_000025.fa,60.8,1.54,2353509,7107
D300481:bin_000004.fa,86.81,2.98,2626194,4860
D300482:bin_000008.fa,91.25,8.04,3186110,35768
D300482:bin_000009.fa,90.72,3.87,3336211,28269
D300483:bin_000006.fa,89.64,0.27,1375671,16490
D300483:bin_000014.fa,89.0,2.16,2627759,20516
D300484:bin_000016.fa,58.11,0.83,1850856,2822
D300485:bin_000008.fa,84.68,5.54,3288142,22396
D300485:bin_000012.fa,88.44,3.45,2434265,11919
D300486:bin_000016.fa,88.42,16.29,3100749,6350
D300487:bin_000012.fa,81.93,5.46,2703836,16611
D300488:bin_000012.fa,81.92,10.49,4401865,26235
D300489:bin_000018.fa,80.43,1.75,2622423,15788
D300491:bin_000002.fa,97.32,5.01,3370830,33163
D300491:bin_000006.fa,93.66,4.83,2239833,9629
D300491:bin_000008.fa,89.68,1.89,2331290,12199
D300492:bin_000012.fa,81.99,2.28,3366354,25402
D300493:bin_000003.fa,91.14,3.12,1486266,8530
D300493:bin_000011.fa,74.41,6.53,2701880,4784
D300495:bin_000009.fa,91.54,4.79,2570056,8282
D300496:bin_000001.fa,99.92,2.92,1879935,80663
D300496:bin_000009.fa,91.33,5.2,2493211,13078
D300496:bin_000012.fa,81.25,4.21,2135870,6899
D300496:bin_000014.fa,75.98,1.12,2032356,5432
D300497:bin_000006.fa,87.53,3.28,2047008,31856
D300498:bin_000001.fa,99.94,1.8,2749836,59687
D300501:bin_000003.fa,96.02,3.57,3509783,26487
D300502:bin_000002.fa,91.93,1.94,2389684,26052
D300502:bin_000008.fa,86.34,3.46,2226283,9810
D300502:bin_000012.fa,82.45,2.86,3676257,8248
D300503:bin_000018.fa,66.68,1.97,2717672,6927
D300505:bin_000001.fa,94.14,6.28,3540339,38169
D300505:bin_000004.fa,92.43,2.33,3302876,26451
D300505:bin_000008.fa,87.18,4.63,2891443,9384
D300505:bin_000009.fa,58.23,0.17,1549053,2904
D300506:bin_000020.fa,64.1,0.74,1820037,3846
D300507:bin_000004.fa,83.62,2.17,1377113,5577
D300507:bin_000018.fa,85.35,3.22,2978186,9777
D300509:bin_000021.fa,71.58,2.67,2285637,6737
D300510:bin_000003.fa,92.05,3.05,1538328,19180
D300510:bin_000004.fa,92.08,6.16,3343405,29857
D300510:bin_000009.fa,91.48,6.32,3397343,29254
D300511:bin_000010.fa,86.2,21.57,3401922,5969
D300513:bin_000012.fa,81.43,7.23,2706856,9398
D300514:bin_000005.fa,94.36,1.04,2490008,23809
D300514:bin_000015.fa,79.47,2.75,2593273,5000
D300515:bin_000003.fa,88.98,4.29,2059043,17463
D300515:bin_000011.fa,69.72,8.8,2796315,2554
D300515:bin_000014.fa,65.37,2.72,3376644,7234
D300516:bin_000005.fa,91.95,6.12,2887848,20769
D300516:bin_000010.fa,78.74,1.17,2284403,13932
D300516:bin_000017.fa,76.34,2.97,2869400,7616
D300518:bin_000005.fa,91.32,3.57,2895861,15033
D300519:bin_000003.fa,93.93,0.0,1764743,16813
D300519:bin_000012.fa,83.42,6.63,3398220,11769
D300520:bin_000020.fa,88.75,3.39,2221103,4894
D300520:bin_000021.fa,84.67,1.21,2634192,8212
D300522:bin_000009.fa,84.77,4.91,1949952,6355
D300523:bin_000002.fa,94.24,0.16,2059266,18614
D300523:bin_000011.fa,84.55,6.41,4498647,37054
D300523:bin_000013.fa,78.62,1.98,2692882,9877
D300528:bin_000001.fa,93.6,2.65,1709241,8929
D300529:bin_000010.fa,85.69,4.78,3544787,14319
GEXTRA:bin_000001.fa,99.98,0.35,2144878,2136170
GEXTRA:bin_000004.fa,99.98,0.94,2191121,2191121
GPB:bin_000026.fa,99.96,0.17,3530557,3530557
GPB:bin_000034.fa,99.26,0.75,3857571,3857571
GPB:bin_000035.fa,99.87,1.08,4015457,4015457
GPB:bin_000039.fa,100.0,0.54,3260876,3260876
GPB:bin_000048.fa,100.0,0.48,3341944,3341944
GPB:bin_000071.fa,97.79,1.27,2835324,2835324
GPB:bin_000084.fa,100.0,1.45,3562522,3562522
GPB:bin_000131.fa,94.41,0.93,2950483,2950483
GPB:bin_000134.fa,100.0,2.29,4979804,3531950
GPB:bin_000164.fa,74.95,0.35,2770184,2770184
GPB:bin_000166.fa,99.96,1.62,2919632,2050625
GPB:bin_000170.fa,95.0,0.1,2505775,1371595
GPB:bin_000201.fa,80.13,3.88,2292451,252817
TG1:bin_000028.fa,81.57,3.56,2067888,13890
TG1:bin_000029.fa,88.02,6.5,2947884,14017
TG1:bin_000053.fa,95.78,8.47,4246862,15424
TG1:bin_000060.fa,74.87,2.32,2532559,6415
TG1_07:bin_000017.fa,78.96,3.41,2046545,8960
TG1_07:bin_000025.fa,62.69,1.93,1934040,7050
TG1_21:bin_000018.fa,92.13,7.54,2318092,11769
TG1_21:bin_000026.fa,72.5,0.94,2151905,4402
TG1_21:bin_000030.fa,76.02,2.61,2590923,4144
TG1_21:bin_000039.fa,87.92,15.31,3507656,13262
TG1_28:bin_000003.fa,97.72,0.8,2176948,29214
TG1_28:bin_000012.fa,88.26,3.68,3038608,19079
TG1_28:bin_000032.fa,94.95,8.13,4100055,23049
TG1_28:bin_000040.fa,75.6,22.02,3076108,5302
TG1_35:bin_000005.fa,98.99,4.93,2696016,38892
TG1_35:bin_000009.fa,95.82,14.17,3635317,28569
TG2:bin_000005.fa,93.64,0.01,1917257,20287
TG2:bin_000012.fa,98.37,7.03,3522771,21878
TG2:bin_000017.fa,92.64,2.65,2456163,35362
TG2:bin_000024.fa,86.75,4.35,3252410,13871
TG2:bin_000053.fa,79.07,12.0,2812955,10370
TG2:bin_000059.fa,77.41,6.97,3204350,9095
TG2_07:bin_000013.fa,88.47,7.69,2691230,7222
TG2_07:bin_000027.fa,86.12,5.8,3276082,14281
TG2_14:bin_000002.fa,93.85,1.65,2113735,19149
TG2_14:bin_000015.fa,90.89,0.82,1697839,9687
TG2_14:bin_000018.fa,81.83,34.55,7839037,16902
TG2_14:bin_000023.fa,86.71,24.49,5281905,7045
TG2_14:bin_000026.fa,92.07,5.97,3422707,17240
TG2_14:bin_000027.fa,79.8,3.7,2742853,7614
TG2_14:bin_000032.fa,65.79,7.32,1536291,2790
TG2_21:bin_000007.fa,94.78,2.24,2534623,56559
TG2_21:bin_000026.fa,95.79,3.8,2951571,23857
TG2_28:bin_000008.fa,94.01,7.63,3013615,34413
TG2_28:bin_000023.fa,68.56,2.78,1840813,3133
TG2_28:bin_000027.fa,80.28,5.55,2708029,7709
TG2_28:bin_000028.fa,72.12,2.7,2778080,11632
TG2_35:bin_000007.fa,85.74,2.44,4119498,4940
TG2_35:bin_000018.fa,91.67,5.67,3089682,32649
TG2_35:bin_000030.fa,80.58,4.57,2790272,6927
TG3:bin_000017.fa,94.73,3.2,2528734,19735
TG3:bin_000039.fa,92.79,1.48,3023438,37454
TG3:bin_000073.fa,60.45,4.91,2853161,4046
TG3_07:bin_000010.fa,91.58,2.36,3387294,56102
TG3_07:bin_000018.fa,81.29,2.16,2612961,10093
TG3_07:bin_000027.fa,78.04,4.28,3077853,16980
TG3_14:bin_000006.fa,100.0,5.97,5154409,26822
TG3_14:bin_000013.fa,92.31,3.25,3267360,21412
TG3_14:bin_000015.fa,85.23,9.02,3597356,27297
TG3_21:bin_000007.fa,97.23,1.45,2395503,37373
TG3_21:bin_000036.fa,84.48,11.29,4090302,14011
TG3_21:bin_000042.fa,77.16,8.29,1591088,10286
TG3_28:bin_000029.fa,85.66,4.02,2771060,8412
TG3_35:bin_000006.fa,87.87,0.51,2623360,19375
TG3_35:bin_000008.fa,92.63,1.76,1304384,27868
TG3_35:bin_000014.fa,93.9,5.63,2927183,22418
TG3_35:bin_000015.fa,98.18,9.15,3249544,14386
TG3_35:bin_000035.fa,80.09,10.57,4376538,10883
TG3_35:bin_000040.fa,64.75,2.01,2130101,5663
TG4:bin_000007.fa,95.89,3.24,3759382,14990
TG4:bin_000019.fa,91.08,5.77,2476749,18272
TG4:bin_000028.fa,80.84,11.9,4041374,30395
TG4:bin_000029.fa,76.65,15.67,3273003,6794
TG4:bin_000032.fa,80.04,10.68,3774160,8067
TG4:bin_000041.fa,88.53,3.7,2893925,12637
TG4:bin_000053.fa,65.22,4.03,1328816,3634
TG4_07:bin_000003.fa,95.18,5.55,3365128,36533
TG4_07:bin_000019.fa,89.82,2.24,2713577,7848
TG4_07:bin_000023.fa,89.96,14.99,3219568,27582
TG4_14:bin_000003.fa,99.91,2.52,1921706,41958
TG4_14:bin_000014.fa,86.71,4.99,3675927,31128
TG4_21:bin_000009.fa,96.06,7.68,3035506,25843
TG4_21:bin_000027.fa,84.66,3.35,2847222,11423
TG4_21:bin_000029.fa,85.87,17.24,2099222,3887
TG4_21:bin_000045.fa,73.95,5.67,2927976,8868
TG4_28:bin_000019.fa,76.52,12.87,4831250,11188
TG4_35:bin_000001.fa,99.87,0.64,2797445,54239
TG4_35:bin_000012.fa,90.72,7.34,3086675,20012
TG4_35:bin_000016.fa,93.75,4.05,2629166,16146
TG4_35:bin_000021.fa,80.96,12.32,2325166,10801
TG5:bin_000005.fa,91.82,3.05,2852697,48096
TG5:bin_000021.fa,90.16,7.7,3039034,34012
TG5:bin_000022.fa,93.24,6.94,2291121,18566
TG5:bin_000027.fa,87.11,2.76,2226132,4322
TG5:bin_000037.fa,98.32,2.99,3572630,25453
TG5_07:bin_000001.fa,99.71,0.75,2778503,46795
TG5_07:bin_000004.fa,93.4,0.89,2789228,27733
TG5_14:bin_000003.fa,94.38,0.18,2445733,17413
TG5_14:bin_000010.fa,92.27,2.23,2068646,18765
TG5_14:bin_000019.fa,90.52,5.03,2472396,11544
TG5_21:bin_000005.fa,92.16,2.88,2109228,20530
TG5_21:bin_000014.fa,86.82,6.96,2403159,12719
TG5_28:bin_000027.fa,72.01,2.42,2004963,11905
TG5_28:bin_000031.fa,65.24,1.82,1757363,8000
TG5_35:bin_000011.fa,87.37,2.07,2071966,34963
TG5_35:bin_000014.fa,90.16,8.85,2705455,15174
TG5_35:bin_000016.fa,86.8,3.82,2499804,7764
TG5_35:bin_000019.fa,91.61,6.39,3603504,30757
D300418:bin_000016.fa,93.46,6.23,3499706,26432
D300419:bin_000003.fa,97.55,7.51,4558158,48971
D300420:bin_000012.fa,83.76,3.51,2896007,20100
D300421:bin_000016.fa,75.71,6.26,2610741,9225
D300423:bin_000008.fa,89.67,6.2,2894020,26051
D300424:bin_000003.fa,86.53,0.47,2290817,7637
D300424:bin_000005.fa,90.1,4.8,3209595,14608
D300424:bin_000012.fa,61.11,5.82,2411723,7114
D300426:bin_000005.fa,95.66,7.58,3103518,25918
D300426:bin_000014.fa,89.01,7.48,3428877,27068
D300427:bin_000001.fa,100.0,0.02,2826075,33801
D300427:bin_000007.fa,87.77,1.31,2444481,10422
D300427:bin_000008.fa,91.77,7.56,2377478,10154
D300431:bin_000009.fa,91.47,7.33,2971677,19836
D300431:bin_000012.fa,85.85,3.28,2959570,21185
D300433:bin_000013.fa,70.87,0.2,1630164,3006
D300434:bin_000002.fa,92.8,2.11,2721021,18335
D300434:bin_000005.fa,95.08,5.78,2488403,6718
D300434:bin_000010.fa,96.13,1.95,3394655,31738
D300434:bin_000013.fa,86.29,4.84,2869118,14120
D300436:bin_000006.fa,91.18,6.09,3038024,51446
D300436:bin_000019.fa,63.26,1.12,1715108,2987
D300436:bin_000021.fa,82.67,2.49,2452725,6102
D300439:bin_000012.fa,84.59,6.3,1663894,7093
D300439:bin_000013.fa,90.4,2.82,2590497,20695
D300439:bin_000020.fa,62.36,1.49,2916994,2811
D300439:bin_000022.fa,68.99,0.77,1583748,18582
D300440:bin_000010.fa,86.66,3.67,3124625,33346
D300440:bin_000014.fa,87.56,10.81,3392670,16587
D300441:bin_000003.fa,95.66,5.5,3078264,29075
D300441:bin_000011.fa,91.9,8.2,2179533,8737
D300442:bin_000012.fa,78.92,4.03,2077733,11497
D300443:bin_000020.fa,65.41,1.33,2046949,4223
D300445:bin_000013.fa,97.98,4.97,4674383,8699
D300447:bin_000007.fa,96.4,4.48,3746984,28329
D300447:bin_000013.fa,88.02,2.23,3091733,22011
D300447:bin_000014.fa,86.8,1.01,2430142,8873
D300448:bin_000008.fa,91.25,4.46,2512431,15843
D300448:bin_000009.fa,90.0,5.35,2225481,7486
D300449:bin_000009.fa,79.01,2.5,2223382,5162
D300452:bin_000012.fa,79.38,4.45,1904272,5172
D300452:bin_000017.fa,80.33,1.21,2821808,7070
D300453:bin_000007.fa,90.01,3.7,3100239,21144
D300453:bin_000016.fa,60.6,2.07,1980460,2893
D300454:bin_000005.fa,98.19,4.78,4660298,48901
D300455:bin_000012.fa,78.95,0.01,1645903,20617
D300456:bin_000007.fa,96.96,4.77,3387621,37866
D300456:bin_000009.fa,86.83,3.9,4598620,44811
D300458:bin_000013.fa,67.76,1.77,2095224,4445
D300458:bin_000016.fa,72.52,2.19,1668593,3795
D300459:bin_000004.fa,99.18,1.4,2610633,30396
D300460:bin_000003.fa,94.06,1.61,4017310,5357
D300460:bin_000004.fa,88.7,3.36,3349678,31551
D300460:bin_000006.fa,97.72,3.4,3531106,31015
D300461:bin_000008.fa,78.48,1.66,2190890,26758
D300464:bin_000009.fa,82.48,3.79,3134660,22281
D300465:bin_000002.fa,91.4,3.18,2576011,29698
D300465:bin_000011.fa,88.32,5.2,3407337,33047
D300466:bin_000008.fa,76.38,2.49,2132673,13718
D300467:bin_000002.fa,98.85,3.97,2074418,24689
D300467:bin_000011.fa,83.64,3.71,2144200,7054
D300467:bin_000019.fa,59.12,0.69,1990722,3156
D300469:bin_000016.fa,70.32,2.82,2124269,4789
D300469:bin_000018.fa,63.3,2.17,1789640,4864
D300470:bin_000008.fa,99.83,2.13,2788329,25854
D300470:bin_000013.fa,88.67,2.22,3512459,18940
D300470:bin_000017.fa,71.78,2.33,1793478,3305
D300471:bin_000004.fa,100.0,1.96,4104051,57618
D300472:bin_000001.fa,100.0,0.67,2724427,20113
D300472:bin_000010.fa,84.53,13.07,3109353,6616
D300473:bin_000003.fa,92.34,5.05,2401869,12978
D300473:bin_000005.fa,93.52,4.23,3199512,16498
D300474:bin_000005.fa,93.35,4.86,3390870,36473
D300474:bin_000008.fa,91.86,2.03,2407785,12656
D300475:bin_000007.fa,98.97,21.31,7492478,28336
D300475:bin_000017.fa,90.53,4.39,2617818,23134
D300475:bin_000019.fa,84.75,2.58,2900420,36324
D300477:bin_000015.fa,100.0,25.97,6814040,23899
D300478:bin_000006.fa,92.09,1.4,2626149,12063
D300478:bin_000007.fa,89.83,3.98,4544121,39513
D300478:bin_000016.fa,88.07,3.52,2441314,13916
D300479:bin_000018.fa,57.68,2.23,1993618,7080
D300483:bin_000005.fa,91.21,6.2,2938879,19117
D300484:bin_000005.fa,99.41,5.33,3193238,26755
D300484:bin_000013.fa,87.94,4.64,2530974,7092
D300485:bin_000009.fa,90.3,8.19,2670497,13378
D300485:bin_000010.fa,88.13,1.81,2085361,6757
D300485:bin_000015.fa,68.06,1.12,1564620,3066
D300485:bin_000019.fa,74.41,5.16,2642688,9792
D300487:bin_000006.fa,94.92,3.25,2027501,19043
D300489:bin_000001.fa,97.59,0.97,2032549,19485
D300489:bin_000005.fa,98.52,0.54,1686601,34700
D300489:bin_000012.fa,78.41,5.53,3865297,16409
D300490:bin_000007.fa,90.7,4.19,2465145,6799
D300490:bin_000008.fa,90.18,3.96,2747104,18067
D300491:bin_000011.fa,76.63,2.43,2353142,5104
D300491:bin_000013.fa,78.04,4.53,2040340,6357
D300492:bin_000005.fa,100.0,2.5,4252552,69962
D300495:bin_000007.fa,91.98,2.4,4607795,45943
D300495:bin_000016.fa,95.15,1.64,3056243,21645
D300495:bin_000018.fa,74.71,7.59,2004602,2816
D300496:bin_000007.fa,98.04,1.76,1799395,41465
D300497:bin_000013.fa,79.49,3.02,2436327,7777
D300497:bin_000014.fa,56.07,0.47,916656,3029
D300497:bin_000016.fa,80.34,4.33,3656286,16790
D300498:bin_000009.fa,84.05,2.87,2663281,10453
D300498:bin_000012.fa,72.01,3.84,2494732,5586
D300499:bin_000004.fa,93.34,9.87,4422995,22368
D300499:bin_000010.fa,90.37,25.94,8466936,16467
D300499:bin_000012.fa,78.97,1.77,1508208,5174
D300502:bin_000004.fa,91.21,17.14,4958314,13487
D300502:bin_000005.fa,87.64,2.4,2271364,16614
D300503:bin_000004.fa,100.0,6.56,4837728,40414
D300503:bin_000010.fa,96.9,7.82,2144877,11345
D300503:bin_000014.fa,77.47,2.99,2196953,6612
D300503:bin_000020.fa,81.61,11.48,4022130,21840
D300504:bin_000009.fa,95.65,19.95,4482433,24546
D300504:bin_000014.fa,85.34,21.46,3622188,7941
D300507:bin_000002.fa,96.02,3.25,2522543,6322
D300507:bin_000009.fa,90.02,8.88,4689655,19753
D300508:bin_000006.fa,90.75,1.9,2519195,13967
D300508:bin_000008.fa,83.04,6.12,2181343,8144
D300508:bin_000010.fa,96.38,11.51,2476009,5842
D300509:bin_000002.fa,98.63,0.11,2770685,33016
D300509:bin_000020.fa,59.19,0.39,1421677,2725
D300510:bin_000006.fa,80.96,0.98,2313452,15167
D300511:bin_000001.fa,94.31,8.14,2908615,25527
D300511:bin_000015.fa,63.6,4.52,1989860,5029
D300512:bin_000004.fa,96.51,5.91,2563735,15531
D300513:bin_000004.fa,88.2,2.42,2572942,12051
D300513:bin_000008.fa,81.62,2.68,3463831,34743
D300513:bin_000014.fa,81.9,2.12,3192580,16756
D300515:bin_000006.fa,71.88,2.16,1184166,3538
D300515:bin_000018.fa,73.1,18.44,2814773,3902
D300516:bin_000003.fa,86.89,0.02,1274486,19222
D300516:bin_000004.fa,96.24,12.22,3561217,25556
D300516:bin_000006.fa,88.21,4.25,3417602,34744
D300516:bin_000018.fa,92.91,7.35,3048249,31093
D300517:bin_000008.fa,94.4,2.29,3632191,16307
D300520:bin_000006.fa,87.74,11.35,4929489,27484
D300520:bin_000018.fa,85.6,5.73,3709356,19233
D300521:bin_000004.fa,89.0,0.96,3367392,35916
D300522:bin_000004.fa,96.53,5.13,2263113,11389
D300522:bin_000005.fa,94.84,5.91,3276562,20485
D300522:bin_000010.fa,89.63,4.02,2309772,21013
D300524:bin_000002.fa,97.59,4.3,2051963,33350
D300525:bin_000003.fa,98.84,0.8,2710802,25061
D300525:bin_000012.fa,86.3,1.56,3187551,30329
D300525:bin_000015.fa,93.91,24.1,3931955,8176
D300526:bin_000007.fa,87.66,3.02,2201692,24842
D300527:bin_000004.fa,88.01,1.01,2650491,19279
D300528:bin_000004.fa,96.78,3.31,3061886,24371
D300528:bin_000006.fa,89.57,8.07,3178418,41466
D300528:bin_000007.fa,85.36,2.17,2720583,16257
D300528:bin_000012.fa,74.37,1.43,1656208,20296
GEXTRA:bin_000006.fa,99.96,0.3,2028169,2028169
GPB:bin_000006.fa,95.45,0.02,2197335,2197335
GPB:bin_000030.fa,94.26,2.0,1458644,1458644
GPB:bin_000041.fa,93.29,0.05,1934850,1934850
GPB:bin_000044.fa,98.76,2.21,3982247,3982247
GPB:bin_000058.fa,99.66,2.63,3834027,3834027
GPB:bin_000097.fa,97.17,1.41,2932220,2932220
GPB:bin_000136.fa,79.89,0.2,2343964,2343964
GPB:bin_000141.fa,89.0,1.91,3795591,2357263
GPB:bin_000143.fa,100.0,0.24,4828883,3306764
GPB:bin_000144.fa,85.21,0.97,2738881,2738881
GPB:bin_000150.fa,90.67,0.41,3062847,3062847
GPB:bin_000165.fa,82.62,3.18,1818533,149255
GPB:bin_000178.fa,83.54,0.13,2769368,191061
GPB:bin_000196.fa,95.66,0.31,2021017,481034
GPB:bin_000207.fa,87.83,0.04,2864461,2179137
GPB:bin_000210.fa,99.18,1.36,3983884,886225
TG1:bin_000007.fa,94.66,5.43,3130005,84405
TG1:bin_000012.fa,92.15,1.98,2892876,9101
TG1:bin_000014.fa,97.62,0.62,2317307,26610
TG1:bin_000047.fa,79.76,2.84,1955405,4481
TG1:bin_000052.fa,80.83,5.08,3299230,11951
TG1_14:bin_000015.fa,81.6,2.89,3343140,28261
TG1_14:bin_000022.fa,74.8,5.72,1939173,6401
TG1_21:bin_000036.fa,65.03,4.34,1373275,2869
TG1_28:bin_000026.fa,90.51,9.02,3322289,9749
TG1_28:bin_000027.fa,96.9,1.95,3645383,16585
TG1_28:bin_000036.fa,66.12,1.98,2619938,4584
TG1_28:bin_000038.fa,74.33,4.93,2585629,10815
TG1_28:bin_000044.fa,52.76,2.88,2383522,5411
TG1_35:bin_000029.fa,87.09,10.16,3192468,19490
TG1_35:bin_000033.fa,69.98,3.76,2563279,7857
TG1_35:bin_000040.fa,74.81,2.93,2669674,6382
TG2:bin_000022.fa,84.05,7.14,2686750,6306
TG2:bin_000026.fa,89.02,3.68,1651355,8840
TG2:bin_000043.fa,89.22,7.07,3005130,14089
TG2:bin_000060.fa,90.28,1.58,4892347,13234
TG2_07:bin_000009.fa,98.7,2.87,2124796,14547
TG2_07:bin_000010.fa,87.46,7.11,2892221,19278
TG2_07:bin_000021.fa,88.82,2.47,2781600,25453
TG2_07:bin_000023.fa,83.39,5.44,2469490,7254
TG2_07:bin_000028.fa,90.38,2.14,3335535,9937
TG2_14:bin_000007.fa,96.31,8.18,3105121,26089
TG2_21:bin_000020.fa,93.29,4.38,3228764,23619
TG2_35:bin_000019.fa,87.98,5.91,3405836,36430
TG2_35:bin_000024.fa,88.52,17.3,3712107,6954
TG3:bin_000008.fa,99.77,4.95,2421094,35524
TG3:bin_000055.fa,88.08,4.09,3591620,12301
TG3_14:bin_000017.fa,85.39,12.2,3234746,33962
TG3_14:bin_000018.fa,96.63,12.03,4016313,28183
TG3_14:bin_000020.fa,78.74,6.24,4453226,28835
