,occurrences_across_networks,interaction_types,networks_with_the_edge
day-Pantothenic acid,1,{'co-exclusion'},{'overall'}
Thomasclavelia spiroformis-L-Proline,1,{'co-occurrence'},{'overall'}
Clostridium_AQ innocuum-L-Proline,1,{'co-occurrence'},{'overall'}
L-Asparagine-L-Proline,1,{'co-exclusion'},{'overall'}
L-Serine-L-Valine,1,{'co-occurrence'},{'overall'}
Acutalibacter ornithocaccae-Niacinamide,1,{'co-exclusion'},{'overall'}
Anaerobutyricum stercoris-Nicotinic acid,1,{'co-exclusion'},{'overall'}
Anaerostipes butyraticus-Nicotinic acid,1,{'co-occurrence'},{'overall'}
L-Serine-L-Aspartic Acid,1,{'co-occurrence'},{'overall'}
Hungatella_B pullicola-L-Glutamine,1,{'co-occurrence'},{'overall'}
L-Serine-L-Lysine,1,{'co-exclusion'},{'overall'}
L-Threonine-L-Methionine,1,{'co-occurrence'},{'overall'}
L-Isoleucine-L-Methionine,1,{'co-occurrence'},{'overall'}
Ruthenibacterium lactatiformans-L-Histidine,1,{'co-occurrence'},{'overall'}
L-Glutamic acid-L-Histidine,1,{'co-occurrence'},{'overall'}
Mediterraneibacter faecigallinarum-L-Phenylalanine,1,{'co-occurrence'},{'overall'}
Anaerobutyricum stercoris-L-Phenylalanine,1,{'co-exclusion'},{'overall'}
treatment_TG4-L-Phenylalanine,1,{'co-occurrence'},{'overall'}
L-Leucine-L-Phenylalanine,1,{'co-occurrence'},{'overall'}
Choladocola avistercoris-treatment_TG5,1,{'co-occurrence'},{'overall'}
Flavonifractor avistercoris-treatment_TG5,1,{'co-exclusion'},{'overall'}
Mediterraneibacter norwichensis-treatment_TG4,1,{'co-occurrence'},{'overall'}
Ornithomonoglobus merdipullorum-Total_removed_abd,1,{'co-exclusion'},{'overall'}
Anaeromassilibacillus stercoravium-Lactobacillus crispatus,1,"{'competition', 'co-occurrence', 'cooperation'}",{'overall'}
An181 sp002160325-Lactobacillus crispatus,1,"{'competition', 'co-occurrence', 'cooperation'}",{'overall'}
Salmonella enterica-Lactobacillus johnsonii,1,"{'competition', 'co-exclusion', 'cooperation'}",{'overall'}
Gallacutalibacter pullicola-Lactobacillus johnsonii,1,"{'competition', 'co-exclusion', 'cooperation'}",{'overall'}
Sellimonas intestinalis-Lactobacillus johnsonii,1,"{'competition', 'co-occurrence', 'cooperation'}",{'overall'}
Lawsonibacter pullicola-Lactobacillus gallinarum,1,"{'competition', 'co-exclusion', 'cooperation'}",{'overall'}
UBA1417 sp900552925-Lactobacillus gallinarum,1,"{'competition', 'co-occurrence', 'cooperation'}",{'overall'}
An181 sp002160325-Lactobacillus gallinarum,1,"{'competition', 'co-occurrence', 'cooperation'}",{'overall'}
Lactobacillus crispatus-Lactobacillus gallinarum,1,"{'competition', 'co-occurrence'}",{'overall'}
Lactobacillus johnsonii-Lactobacillus gallinarum,1,"{'competition', 'co-occurrence'}",{'overall'}
Onthovicinus excrementipullorum-Ligilactobacillus salivarius,1,"{'competition', 'co-exclusion', 'cooperation'}",{'overall'}
Eisenbergiella merdigallinarum-Ligilactobacillus salivarius,1,"{'competition', 'co-exclusion', 'cooperation'}",{'overall'}
Mediterraneibacter excrementipullorum-Ligilactobacillus salivarius,1,"{'competition', 'co-occurrence', 'cooperation'}",{'overall'}
Mediterraneibacter faecavium-Total_removed_abd,1,{'co-exclusion'},{'overall'}
Eisenbergiella merdigallinarum-treatment_TG4,1,{'co-occurrence'},{'overall'}
Lawsonibacter asaccharolyticus-treatment_TG1,1,{'co-exclusion'},{'overall'}
Dysosmobacter faecalis-treatment_TG1,1,{'co-occurrence'},{'overall'}
Lachnoclostridium_B sp002160985-treatment_TG1,1,{'co-occurrence'},{'overall'}
Enterocloster excrementipullorum-treatment_TG1,1,{'co-exclusion'},{'overall'}
Borkfalkia excrementigallinarum-treatment_TG1,1,{'co-occurrence'},{'overall'}
Flavonifractor avicola-treatment_TG2,1,{'co-exclusion'},{'overall'}
UBA1417 sp900552925-treatment_TG2,1,{'co-exclusion'},{'overall'}
Merdisoma faecalis-treatment_TG2,1,{'co-exclusion'},{'overall'}
Blautia_A intestinavium-treatment_TG2,1,{'co-occurrence'},{'overall'}
Flavonifractor avistercoris-treatment_TG3,1,{'co-exclusion'},{'overall'}
Intestinimonas timonensis-treatment_TG3,1,{'co-exclusion'},{'overall'}
Choladocola avistercoris-treatment_TG3,1,{'co-exclusion'},{'overall'}
Agathobaculum intestinigallinarum-treatment_TG4,1,{'co-occurrence'},{'overall'}
Dysosmobacter pullicola-Choladocola avistercoris,1,"{'competition', 'co-exclusion', 'cooperation'}",{'overall'}
Roslinia sp019419865-Anaerotignum merdipullorum,1,"{'competition', 'co-exclusion'}",{'overall'}
Merdivicinus intestinigallinarum-Roslinia sp019419865,1,"{'competition', 'co-exclusion', 'cooperation'}",{'overall'}
Escherichia coli-Roslinia sp019419865,1,"{'competition', 'co-exclusion', 'cooperation'}",{'overall'}
Hungatella_B pullicola-treatment_TG2,1,{'co-occurrence'},{'day14'}
Mediterraneibacter faecigallinarum-treatment_TG4,1,{'co-occurrence'},{'day14'}
Tyzzerella sp944383305-treatment_TG5,1,{'co-occurrence'},{'day14'}
Eisenbergiella intestinigallinarum-treatment_TG5,1,{'co-occurrence'},{'day14'}
Mediterraneibacter faecigallinarum-L-Asparagine,1,{'co-occurrence'},{'day14'}
treatment_TG4-L-Glutamic acid,1,{'co-occurrence'},{'day14'}
Agathobaculum stercoravium-L-Serine,1,{'co-exclusion'},{'day14'}
L-Glutamic acid-L-Serine,1,{'co-occurrence'},{'day14'}
Lawsonibacter pullicola-L-Valine,1,{'co-exclusion'},{'day14'}
Merdisoma faecalis-Nicotinic acid,1,{'co-occurrence'},{'day14'}
treatment_TG1-Nicotinic acid,1,{'co-occurrence'},{'day14'}
Anaeromassilibacillus stercoravium-L-Aspartic Acid,1,{'co-exclusion'},{'day14'}
Pullilachnospira stercoravium-L-Aspartic Acid,1,{'co-occurrence'},{'day14'}
L-Asparagine-L-Aspartic Acid,1,{'co-occurrence'},{'day14'}
Dysosmobacter avistercoris-L-Methionine,1,{'co-exclusion'},{'day14'}
Total_removed_abd-L-Tryptophan,1,{'co-exclusion'},{'day14'}
Eisenbergiella sp904392525-Riboflavin,1,{'co-occurrence'},{'day14'}
L-Proline-Riboflavin,1,{'co-occurrence'},{'day14'}
UBA1417 sp900552925-a-Tocopheryl acetate,1,{'co-exclusion'},{'day14'}
Alistipes excrementavium-Lawsonibacter sp900545895,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG1'}
Flavonifractor plautii-Lawsonibacter pullicola,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG1'}
Flavonifractor plautii-Dysosmobacter pullicola,1,"{'competition', 'co-occurrence'}",{'TG1'}
Lawsonibacter sp900545895-Gallacutalibacter pullicola,1,"{'competition', 'co-occurrence'}",{'TG1'}
Lawsonibacter sp019424865-Timburyella stercoris,1,"{'competition', 'co-occurrence'}",{'TG1'}
Proteus mirabilis-unclassified_Onthovicinus,1,"{'competition', 'co-exclusion', 'cooperation'}",{'TG1'}
Acutalibacter ornithocaccae-unclassified_Onthovicinus,1,"{'competition', 'co-occurrence'}",{'TG1'}
Timburyella stercoris-Ruthenibacterium lactatiformans,1,"{'competition', 'co-occurrence'}",{'TG1'}
Flavonifractor avicola-Negativibacillus faecipullorum,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG1'}
Choladocola avistercoris-Mediterraneibacter intestinavium,1,"{'competition', 'co-occurrence'}",{'TG1'}
Intestinimonas pullistercoris-treatment_TG2,1,{'co-occurrence'},{'day14'}
Eisenbergiella intestinigallinarum-Total_removed_abd,1,{'co-exclusion'},{'day14'}
Escherichia coli-Total_removed_abd,1,{'co-exclusion'},{'day14'}
Flavonifractor avistercoris-Acutalibacter stercoravium,1,"{'competition', 'co-exclusion', 'cooperation'}",{'day14'}
Lawsonibacter pullicola-UBA1417 sp900552925,1,"{'competition', 'co-exclusion'}",{'day07'}
UBA1417 sp900552925-Anaeromassilibacillus stercoravium,1,"{'competition', 'co-occurrence'}",{'day07'}
Pseudobutyricicoccus lothianensis-Fournierella sp002161595,1,"{'competition', 'co-exclusion', 'cooperation'}",{'day07'}
UBA1417 sp900552925-Eisenbergiella intestinigallinarum,1,"{'competition', 'co-exclusion'}",{'day07'}
Fournierella sp002161595-Mediterraneibacter merdigallinarum,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day07'}
Fimicola sp944379995-UMGS1370 sp904395885,1,"{'competition', 'co-occurrence'}",{'day07'}
Lawsonibacter sp900545895-Lactobacillus gallinarum,1,"{'competition', 'co-exclusion', 'cooperation'}",{'day07'}
Anaeromassilibacillus stercoravium-Ligilactobacillus salivarius,1,"{'competition', 'co-exclusion'}",{'day07'}
Mediterraneibacter merdigallinarum-treatment_TG2,1,{'co-occurrence'},{'day07'}
Fimicola sp944379995-treatment_TG3,1,{'co-occurrence'},{'day07'}
Anaerotignum merdipullorum-treatment_TG3,1,{'co-exclusion'},{'day07'}
Bifidobacterium globosum-treatment_TG4,1,{'co-occurrence'},{'day07'}
Pullilachnospira stercoravium-treatment_TG4,1,{'co-occurrence'},{'day07'}
Gallacutalibacter pullicola-Negativibacillus faecipullorum,1,"{'competition', 'co-exclusion'}",{'day14'}
Mediterraneibacter merdigallinarum-Romboutsia sp904418825,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day14'}
Agathobaculum stercoravium-Ornithomonoglobus merdipullorum,1,"{'competition', 'co-exclusion'}",{'day14'}
Ornithomonoglobus merdipullorum-Tyzzerella sp944383305,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day14'}
Acutalibacter stercoravium-Anaerotignum merdipullorum,1,"{'competition', 'co-occurrence'}",{'day14'}
Klebsiella pneumoniae-Eisenbergiella intestinigallinarum,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day14'}
Flavonifractor plautii-Eisenbergiella sp904392525,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day14'}
Choladocola avistercoris-Mediterraneibacter excrementipullorum,1,"{'competition', 'co-occurrence'}",{'day14'}
Escherichia coli-UMGS1370 sp904395885,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day14'}
Clostridium_Q saccharolyticum_A-Lachnoclostridium_A stercoripullorum,1,"{'competition', 'co-exclusion'}",{'day14'}
Intestinimonas pullistercoris-Sellimonas intestinalis,1,"{'competition', 'co-occurrence'}",{'day14'}
Merdivicinus intestinigallinarum-Hungatella_B pullicola,1,"{'competition', 'co-exclusion', 'cooperation'}",{'day14'}
Gallacutalibacter pullicola-Anaerobutyricum stercoris,1,"{'competition', 'co-exclusion', 'cooperation'}",{'day14'}
UMGS1370 sp904395885-Borkfalkia excrementigallinarum,1,"{'competition', 'co-exclusion'}",{'day14'}
Mediterraneibacter vanvlietii-Borkfalkia excrementigallinarum,1,"{'competition', 'co-exclusion'}",{'day14'}
unclassified_Intestinimonas-Mediterraneibacter faecavium,1,{'co-occurrence'},{'TG1'}
unclassified_Oscillospiraceae-Mediterraneibacter faecavium,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG1'}
Eisenbergiella intestinigallinarum-unclassified_Blautia,1,"{'competition', 'co-exclusion'}",{'TG1'}
Mediterraneibacter intestinigallinarum-L-Arginine,1,{'co-occurrence'},{'TG1'}
Anaerotignum lactatifermentans-L-Serine,1,{'co-occurrence'},{'TG1'}
Flavonifractor avistercoris-L-Proline,1,{'co-exclusion'},{'TG1'}
Pantothenic acid-L-Proline,1,{'co-occurrence'},{'TG1'}
Pantothenic acid-Niacinamide,1,{'co-occurrence'},{'TG1'}
Pantothenic acid-Nicotinic acid,1,{'co-occurrence'},{'TG1'}
Mediterraneibacter excrementipullorum-L-Glutamine,1,{'co-exclusion'},{'TG1'}
L-Valine-L-Glutamine,1,{'co-occurrence'},{'TG1'}
Eisenbergiella sp904392525-L-Lysine,1,{'co-exclusion'},{'TG1'}
Alistipes excrementavium-L-Histidine,1,{'co-exclusion'},{'TG1'}
Escherichia coli-L-Histidine,1,{'co-exclusion'},{'TG1'}
Faecousia gallistercoris-L-Histidine,1,{'co-occurrence'},{'TG1'}
Thomasclavelia ramosa-Pyridoxine,1,{'co-occurrence'},{'TG1'}
Mediterraneibacter pullicola-L-Arginine,1,{'co-occurrence'},{'TG1'}
L-Leucine-L-Tyrosine,1,{'co-occurrence'},{'TG1'}
Merdisoma faecalis-Total_removed_abd,1,{'co-exclusion'},{'TG1'}
Klebsiella pneumoniae-Proteus mirabilis,1,"{'competition', 'co-occurrence'}",{'overall'}
Klebsiella pneumoniae-Flavonifractor plautii,1,"{'competition', 'co-occurrence', 'cooperation'}",{'overall'}
Gordonibacter urolithinfaciens-Flavonifractor avistercoris,1,"{'competition', 'co-occurrence', 'cooperation'}",{'overall'}
Flavonifractor avistercoris-Lawsonibacter sp900545895,1,"{'competition', 'co-exclusion', 'cooperation'}",{'overall'}
Agathobaculum sp900557315-Acutalibacter sp900755895,1,"{'competition', 'co-occurrence'}",{'overall'}
Pelethomonas intestinigallinarum-Acutalibacter sp900755895,1,"{'competition', 'co-occurrence', 'cooperation'}",{'overall'}
Acutalibacter stercoravium-Gallacutalibacter pullicola,1,"{'competition', 'co-occurrence'}",{'overall'}
Acutalibacter ornithocaccae-Anaeromassilibacillus stercoravium,1,"{'competition', 'co-exclusion'}",{'overall'}
Klebsiella pneumoniae-unclassified_Acutalibacteraceae,1,"{'competition', 'co-exclusion', 'cooperation'}",{'overall'}
Intestinimonas pullistercoris-unclassified_Acutalibacteraceae,1,"{'competition', 'co-occurrence'}",{'overall'}
Faecousia gallistercoris-Ruthenibacterium lactatiformans,1,"{'competition', 'co-occurrence'}",{'overall'}
Rubneribacter badeniensis-Merdivicinus intestinigallinarum,1,"{'competition', 'co-occurrence', 'cooperation'}",{'overall'}
Intestinimonas stercoravium-Ornithomonoglobus merdipullorum,1,"{'competition', 'co-occurrence'}",{'overall'}
Agathobaculum stercoravium-L-Asparagine,1,{'co-exclusion'},{'TG1'}
Intestinimonas stercoravium-Total_removed_abd,1,{'co-exclusion'},{'TG1'}
Faecousia gallistercoris-Lachnoclostridium_B sp002160985,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG1'}
Anaeromassilibacillus stercoravium-Borkfalkia excrementigallinarum,1,"{'competition', 'co-occurrence'}",{'TG1'}
Gallacutalibacter pullicola-Lachnoclostridium_B sp002160985,1,"{'competition', 'co-exclusion'}",{'TG1'}
CAJFUH01 sp904420155-Lachnoclostridium_B sp002160985,1,"{'competition', 'co-occurrence'}",{'TG1'}
Acutalibacter ornithocaccae-UMGS1370 sp904395885,1,"{'competition', 'co-occurrence'}",{'TG1'}
Flavonifractor avicola-unclassified_Blautia_A,1,"{'competition', 'co-exclusion', 'cooperation'}",{'TG1'}
Ruminococcus_G avistercoris-unclassified_Blautia_A,1,"{'competition', 'co-occurrence'}",{'TG1'}
Faecousia gallistercoris-Mediterraneibacter intestinigallinarum,1,"{'competition', 'co-occurrence'}",{'TG1'}
Proteus mirabilis-Copromonas faecavium,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG1'}
Intestinimonas timonensis-Enterocloster excrementigallinarum,1,"{'competition', 'co-occurrence'}",{'TG1'}
Fournierella sp002161595-Enterocloster excrementigallinarum,1,"{'competition', 'co-exclusion'}",{'TG1'}
Metalachnospira gallinarum-Enterocloster excrementigallinarum,1,"{'competition', 'co-exclusion'}",{'TG1'}
UBA1417 sp900552925-Anaerobutyricum stercoris,1,"{'competition', 'co-occurrence'}",{'TG1'}
unclassified_Acutalibacteraceae-Anaerobutyricum stercoris,1,"{'competition', 'co-occurrence'}",{'TG1'}
Avimicrobium caecorum-Anaerobutyricum stercoris,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG1'}
Mediterraneibacter faecavium-Borkfalkia sp017886545,1,"{'competition', 'co-occurrence'}",{'TG1'}
Lawsonibacter sp900545895-Ligilactobacillus salivarius,1,"{'competition', 'co-occurrence'}",{'TG1'}
Lachnoclostridium_A stercorigallinarum-Borkfalkia sp017886545,1,"{'competition', 'co-exclusion', 'cooperation'}",{'TG1'}
unclassified_Blautia-Scatosoma sp900555925,1,"{'competition', 'co-occurrence'}",{'TG1'}
UBA1417 sp900552925-Coproplasma stercorigallinarum,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG1'}
Avimicrobium caecorum-Coproplasma stercorigallinarum,1,"{'competition', 'co-exclusion', 'cooperation'}",{'TG1'}
unclassified_Blautia_A-Coproplasma stercorigallinarum,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG1'}
unclassified_Oscillospiraceae-Romboutsia sp904418825,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG1'}
Gallimonas merdigallinarum-Thomasclavelia ramosa,1,"{'competition', 'co-exclusion'}",{'TG1'}
Pelethomonas intestinigallinarum-Massilimicrobiota merdigallinarum,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG1'}
Borkfalkia excrementigallinarum-Massilimicrobiota merdigallinarum,1,"{'competition', 'co-exclusion'}",{'TG1'}
Flavonifractor avicola-Thomasclavelia spiroformis,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG1'}
Flavonifractor plautii-Thomasclavelia spiroformis,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG1'}
Thomasclavelia ramosa-Thomasclavelia spiroformis,1,"{'competition', 'co-occurrence'}",{'TG1'}
Faecousia gallistercoris-Clostridium_AQ innocuum,1,"{'competition', 'co-exclusion'}",{'TG1'}
Blautia ornithocaccae-Pyridoxine,1,{'co-occurrence'},{'overall'}
Hungatella_B pullicola-Pyridoxine,1,{'co-occurrence'},{'overall'}
Ligilactobacillus salivarius-Pyridoxine,1,{'co-occurrence'},{'overall'}
unclassified_Lawsonibacter-Copromonas faecavium,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG2'}
CAG-245 sp944388645-CAG-313 sp000433035,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG2'}
Fimimorpha faecalis-CAG-313 sp000433035,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG2'}
unclassified_Merdibacter-CAG-313 sp000433035,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG2'}
Acutalibacter sp900755895-Lactobacillus crispatus,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG2'}
Flavonifractor avistercoris-Lactobacillus johnsonii,1,"{'competition', 'co-exclusion', 'cooperation'}",{'TG2'}
Eisenbergiella intestinigallinarum-Ligilactobacillus salivarius,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG2'}
Thomasclavelia spiroformis-Ligilactobacillus salivarius,1,"{'competition', 'co-occurrence'}",{'TG2'}
unclassified_Lawsonibacter-Total_removed_abd,1,{'co-exclusion'},{'TG2'}
Dysosmobacter avistercoris-Total_removed_abd,1,{'co-exclusion'},{'TG2'}
Scatosoma sp904419075-Total_removed_abd,1,{'co-exclusion'},{'TG2'}
CAJFUH01 sp904420155-L-Asparagine,1,{'co-occurrence'},{'TG2'}
CAG-313 sp000433035-L-Asparagine,1,{'co-occurrence'},{'TG2'}
Holdemania filiformis-L-Glutamic acid,1,{'co-occurrence'},{'TG2'}
CAG-313 sp000433035-L-Glutamic acid,1,{'co-occurrence'},{'TG2'}
Eisenbergiella intestinigallinarum-Pantothenic acid,1,{'co-occurrence'},{'TG2'}
Thomasclavelia ramosa-Pantothenic acid,1,{'co-occurrence'},{'TG2'}
Lawsonibacter pullicola-L-Proline,1,{'co-occurrence'},{'TG2'}
Merdisoma faecalis-Niacinamide,1,{'co-occurrence'},{'TG2'}
Dysosmobacter avistercoris-Nicotinic acid,1,{'co-exclusion'},{'TG2'}
Nicotinic acid-L-Isoleucine,1,{'co-occurrence'},{'TG2'}
CAG-313 sp000433035-L-Aspartic Acid,1,{'co-occurrence'},{'TG2'}
L-Alanine-L-Aspartic Acid,1,{'co-occurrence'},{'TG2'}
Nicotinic acid-L-Aspartic Acid,1,{'co-occurrence'},{'TG2'}
Holdemania filiformis-L-Histidine,1,{'co-occurrence'},{'TG2'}
L-Serine-L-Phenylalanine,1,{'co-occurrence'},{'TG2'}
L-Valine-L-Phenylalanine,1,{'co-exclusion'},{'TG2'}
L-Methionine-L-Phenylalanine,1,{'co-occurrence'},{'TG2'}
Intestinimonas timonensis-Pyridoxamine,1,{'co-occurrence'},{'TG2'}
Mediterraneibacter avicola-L-Arginine,1,{'co-occurrence'},{'TG2'}
Angelakisella sp904420255-Holdemania filiformis,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG2'}
Faecivivens stercoravium-Holdemania filiformis,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG2'}
Galloscillospira_A stercoripullorum-Holdemania filiformis,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG2'}
unclassified_Lawsonibacter-UMGS775 sp900545325,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG2'}
Scatavimonas merdipullorum-Merdimonas faecis,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG2'}
Mediterraneibacter avicola-Merdimonas faecis,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG2'}
unclassified_Mediterraneibacter-Pullilachnospira stercoravium,1,"{'competition', 'co-occurrence'}",{'TG2'}
Agathobaculum stercoravium-Hungatella_B pullicola,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG2'}
unclassified_Lawsonibacter-Hungatella_B pullicola,1,"{'competition', 'co-exclusion', 'cooperation'}",{'TG2'}
Flavonifractor avistercoris-Anaerobutyricum stercoris,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG2'}
Hungatella_B pullicola-Anaerobutyricum stercoris,1,"{'competition', 'co-occurrence'}",{'TG2'}
unclassified_Acutalibacteraceae-Heteroclostridium caecigallinarum,1,"{'competition', 'co-occurrence'}",{'TG2'}
Negativibacillus faecipullorum-Borkfalkia excrementigallinarum,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG2'}
Mediterraneibacter merdigallinarum-Gallimonas merdigallinarum,1,"{'competition', 'co-exclusion', 'cooperation'}",{'TG2'}
Mediterraneibacter faecigallinarum-Coproplasma stercorigallinarum,1,"{'competition', 'co-exclusion', 'cooperation'}",{'TG2'}
Caccovicinus merdipullorum-Coproplasma stercorigallinarum,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG2'}
UMGS1370 sp904395885-Coproplasma stercorigallinarum,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG2'}
Eubacterium_R faecavium-UMGS775 sp900545325,1,"{'competition', 'co-occurrence'}",{'TG2'}
Massilimicrobiota sp002160865-unclassified_Merdibacter,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG2'}
Fimimorpha faecalis-UMGS775 sp900545325,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG2'}
Spyradocola merdavium-Romboutsia sp904418825,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG2'}
Agathobaculum sp900557315-Harrysmithimonas galli,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG2'}
Mediterraneibacter excrementipullorum-Harrysmithimonas galli,1,"{'competition', 'co-exclusion', 'cooperation'}",{'TG2'}
Sellimonas intestinalis-Harrysmithimonas galli,1,"{'competition', 'co-exclusion'}",{'TG2'}
Fournierella sp002161595-Thomasclavelia ramosa,1,"{'competition', 'co-occurrence'}",{'TG2'}
Gemmiger avicola-Thomasclavelia ramosa,1,"{'competition', 'co-occurrence'}",{'TG2'}
Mediterraneibacter faecipullorum-Thomasclavelia ramosa,1,"{'competition', 'co-occurrence'}",{'TG2'}
Coproplasma stercorigallinarum-Thomasclavelia spiroformis,1,"{'competition', 'co-exclusion', 'cooperation'}",{'TG2'}
Agathobaculum stercoravium-Clostridium_AQ innocuum,1,"{'competition', 'co-occurrence'}",{'TG2'}
Copromonas faecavium-Clostridium_AQ innocuum,1,"{'competition', 'co-exclusion', 'cooperation'}",{'TG2'}
Dysosmobacter faecalis-unclassified_Merdibacter,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG2'}
Merdisoma faecalis-unclassified_Merdibacter,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG2'}
L-Aspartic Acid-L-Tyrosine,1,{'co-occurrence'},{'TG2'}
Dysosmobacter pullicola-Thiamine,1,{'co-occurrence'},{'TG2'}
Thomasclavelia ramosa-Thiamine,1,{'co-occurrence'},{'TG2'}
Pseudobutyricicoccus lothianensis-Coproplasma avistercoris,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG4'}
Lachnoclostridium_B sp002160985-Copromonas faecavium,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG4'}
Flavonifractor plautii-Mediterraneibacter norwichensis,1,"{'competition', 'co-exclusion', 'cooperation'}",{'TG4'}
Blautia stercorigallinarum-Mediterraneibacter norwichensis,1,"{'competition', 'co-occurrence'}",{'TG4'}
Intestinimonas stercoravium-Enterocloster excrementigallinarum,1,"{'competition', 'co-occurrence'}",{'TG4'}
Mediterraneibacter excrementipullorum-Enterocloster excrementigallinarum,1,"{'competition', 'co-occurrence'}",{'TG4'}
Merdimonas faecis-Pullilachnospira stercoravium,1,"{'competition', 'co-exclusion'}",{'TG4'}
Pelethomonas intestinigallinarum-Lachnoclostridium_A sp002160755,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG4'}
Blautia stercorigallinarum-Lachnoclostridium_A sp002160755,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG4'}
Flavonifractor plautii-Hungatella_B pullicola,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG4'}
Clostridium_Q saccharolyticum_A-Hungatella_B pullicola,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG4'}
Flavonifractor plautii-Borkfalkia sp904373255,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG4'}
Merdimonas faecis-Borkfalkia sp017886545,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG4'}
Pelethomonas intestinigallinarum-Scatosoma sp900555925,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG4'}
Acutalibacter sp900755895-Coproplasma avistercoris,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG4'}
Onthovicinus excrementipullorum-Copromonas faecavium,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG4'}
unclassified_CAG-273-Coproplasma avistercoris,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG4'}
Caccovicinus merdipullorum-Romboutsia sp904418825,1,"{'competition', 'co-exclusion', 'cooperation'}",{'TG4'}
Scatosoma sp900555925-Romboutsia sp904418825,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG4'}
Rubneribacter badeniensis-Harrysmithimonas galli,1,"{'competition', 'co-exclusion', 'cooperation'}",{'TG4'}
Flavonifractor avicola-Harrysmithimonas galli,1,"{'competition', 'co-occurrence'}",{'TG4'}
Merdivicinus intestinigallinarum-Massilimicrobiota merdigallinarum,1,"{'competition', 'co-exclusion', 'cooperation'}",{'TG4'}
Lachnoclostridium_A stercorigallinarum-Massilimicrobiota merdigallinarum,1,"{'competition', 'co-exclusion'}",{'TG4'}
Roslinia sp019419865-Thomasclavelia spiroformis,1,"{'competition', 'co-exclusion'}",{'TG4'}
Acutalibacter sp900755895-Clostridium_AQ sp900552125,1,"{'competition', 'co-occurrence'}",{'TG4'}
Lachnoclostridium_B sp002160985-Merdibacter merdigallinarum,1,"{'competition', 'co-occurrence'}",{'TG4'}
Gordonibacter urolithinfaciens-Lactobacillus johnsonii,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG4'}
Eisenbergiella merdigallinarum-Lactobacillus gallinarum,1,"{'competition', 'co-exclusion', 'cooperation'}",{'TG4'}
Mediterraneibacter sp019418195-Limosilactobacillus fermentum,1,{'co-occurrence'},{'TG4'}
